Timestamp,Nom de la structure,Type de structure,Rue,Code postal,Ville,Email,Téléphone fixe,Téléphone mobile,Site web,Description courte,Description longue,Url de l'image,Catégorie,Mot-clé 1,Latitude,Longitude,Code pays
01/06/2018 07:49:54,Ferme Saint Joseph,Entreprise,1918 Chemin du Rù Migaille,88240,Les Voivres,fermesaintjoseph@outlook.com,03 29 34 03 06,647085237,https://www.facebook.com/FermeStJosephLesVoivres/,Maraîchage biologique,,,Magasin de producteurs / vente directe,"Ecocert, de saison",,,
07/06/2018 04:08:03,Les jardins de Bernadette,Entreprise,Le Peurpre,88120,Le Haut du Tôt,,,06 20 91 42 02, www.hautdutot-plantes.com,"Agriculture bio, ","Condiments, confitures, sirops, infusions",http://www.hautdutot-plantes.com/,Magasin de producteurs / vente directe,"bio, fait maison",,,
,Le Bougnat,Entreprise,3 Rue d’Ambrail,88000,Epinal,,,,,,,,Bar,,48.1743627,6.4520564,FR
,Les Caves de Fontenay,Entreprise,8 Rue de la Maix,88000,Epinal,,,,,,concerts,,Bar,,48.1753743,6.4526554,FR
,Les Caves de Fontenay,Entreprise,1 Route d’Aydoilles,88600,Fontenay,,,,,,,,Bar,,48.2181518,6.5887327,FR
,Le Domaine du Houblon,Entreprise,1 Avenue Armand Lederlin,88150,Thaon-les-Vosges,,,,,,microbrasserie,,Bar,,48.251321,6.4253052,FR
,SARL Kneuss et fils,Entreprise,Place Saint-Goëry,88000,Epinal,kneuss88@orange.fr,0329311673,,,,"terrine tradition vosges terroir, traiteur, fumé vosgien",,Boucherie / charcuterie,,48.174096,6.450387,FR
,Boulangerie Cussenot,Entreprise,13 grande rue,88460,Cheniménil,,0329388718,,,,,,Boulangerie / pâtisserie,,48.1673804,6.5923058,FR
,L'Atelier du biscuit,Entreprise,359 rue de Mirecourt,88390,Darnieulles,,0329300227,,,,,,Boulangerie / pâtisserie,,48.1988522,6.3495701,FR
,Bize Délices,Entreprise,12 rue François Blaudez,88000,Epinal,,0329820531,,,,Pain bio tous les jours,,Boulangerie / pâtisserie,,48.173124,6.449562,FR
,La Brasserie Clandestine,Entreprise,50 Grande Rue,88270,Charmois-l’Orgueilleux,,,,,,microbrasserie,,Brasserie,,48.102748,6.27114,FR
,La Fouillote - Microbrasserie,Entreprise,11 rue Jean Jaurès,88000,Epinal,contact@lafouillotte.fr,,,,,microbrasserie,,Brasserie,,48.178515,6.439775,FR
,ASSOCIATION A.M.I.,Association,Maison des Associations - 16 Quartier de la Magdeleine,88000,Epinal,contact@association-ami-epinal.fr,,,,,,,Dépôt-vente,,48.18894,6.44017,FR
,Au Moulin des Lettres,Entreprise,50 Quai des Bons Enfants,88000,Epinal,,,,,,,,Librairie / papeterie,,48.1738867,6.4453579,FR
,Quai des Mots,Entreprise,4 Place du Général de Gaulle,88000,Epinal,,,,,,,,Librairie / papeterie,,48.1781652,6.4423709,FR
,Ferme des délices d'Aubracs,Entreprise,Humbertois,88000,Epinal,,,0625291175,,,"viande, produits laitiers, fruits, légumes, boissons, pains",,Magasin de producteurs / vente directe,,48.136499,6.398316,FR
,GAEC Bio-Villemin,Entreprise,1224 rue de Xertigny,88390,Girancourt,,,0629530077,,,"viande bovine, sur commande (à retirer à la ferme ou en livraison)",,Magasin de producteurs / vente directe,,48.1556785,6.3123344,FR
,A La Revoyotte,Entreprise,19 route de Mirecourt,88390,Les Forges,,,,,,,,Magasin de producteurs / vente directe,,48.1779857,6.3862639,FR
,Ferme de la Petite Failloux,Entreprise,4 La Petite Failloux,88000,Jeuxey,,0329342421,,,"Magasin du producteur qui propose ses fruits, ses légumes, sa viande, mais aussi d'autres produits régionaux.",,,Magasin de producteurs / vente directe,,48.184791,6.494481,FR
,L'Escale Campagnarde,Entreprise,25 rue du Saut le Cerf,88000,Epinal,,0329349921,,,,,,Magasin de producteurs / vente directe,,48.2006889,6.4802576,FR
,Jardins de Cocagne,Entreprise,Prairie Claudel,88150,Thaon-lès-Vosges,,0329316498,,,,"fruits, légumes, huiles, produits de la ruche, plantes aromatiques",,Magasin de producteurs / vente directe,,48.25366,6.42594,FR
,Ferme du Durbion,Entreprise,6 chemin Houillon,88600,Dompierre,,0329656898,,,,"viande, produits laitiers / magasin ouvert le Mercredi de 17h à 19h et le Samedi de 10h à 12h",,Magasin de producteurs / vente directe,,48.254136,6.563742,FR
,Fête de la Biodiversité,Entreprise,Esplanade du Château,88000,Epinal,,,,,,Début juin,,Marché,,48.176093,6.454262,FR
,Fête de l'Homme de la Nature et de l'Environnement,Entreprise,La Rotonde,88150,Thaon-lès-Vosges,,,,,,2ème week-end de septembre,,Marché,,48.250554,6.419186,FR
,Marché de Thaon-lès-Vosges,Entreprise,Place Jules Ferry,88150,Thaon-lès-Vosges,,,,,,Tous les 1ers Jeudis du mois,,Marché,,48.2521686,6.4216205,FR
,Marché de Golbey,Entreprise,Place de l’Église,88190,Golbey,,,,,,Tous les Dimanches matin,,Marché,,48.2861059,6.363555,FR
,Marché d’Épinal,Entreprise,Place Claude Basso,88000,Epinal,,,,,,Tous les Mercredis et Samedis matin,,Marché,,48.60963,7.7891241,FR
,Paysans bio ,Association,Port,88000,Epinal,,,0678845326,,,vendredi des semaines impaires à partir de 16h00,,Marché,,48.182222,6.430927,FR
,Marché des Paysans Bio,Entreprise,Port,88000,Epinal,,,,,,1er et 3ème Vendredis du mois à partir de 16 heures,,Marché,,48.149916,6.465523,FR
,La Naturothèque,Entreprise,1036 rue d'Epinal,88000,Dogneville,,0329813636,,http://www.la-naturotheque.com/,,Herboristerie Huiles essentielles Fleurs de Bach Magnétothérapie Cosmétique bio Apithérapie Cosmétiques Bio,,Pharmacie,,48.21604,6.453276,FR
,O’ Loup en Pyjama,Entreprise,6 rue des Petites Boucheries,88000,Epinal,,,,,,,,Restaurant,,48.1748318,6.4463114,FR
,Peio,Entreprise,9 rue de la Maix,88000,Epinal,,,,,,Pizzeria,,Restaurant,,48.175611,6.451739,FR
,Artisans du Monde,Entreprise,15 Rue 170ème RI,88000,Epinal,,03 29 34 97 40,,https://www.artisansdumonde.org/les-associations-locales/artisans-du-monde-epinal,Commerce de détail alimentaire sur éventaires et marchés,"Réseau de distribution associatif et militant, Artisans du Monde défend une vision engagée du commerce équitable. Vendre des produits alimentaires et d'artisanat équitables, informer, sensibiliser et faire pression.. pour un commerce équitable exigeant.",,Supérette / épicerie / supermarché,artisanat,48.172402,6.449403,FR
,Papilles Insolites,Entreprise,2 avenue Paul Dutac,88000,Epinal,,0372342320,,,"Cave à vins, épicerie fine",Du mardi au samedi,,Supérette / épicerie / supermarché,,48.172402,6.449403,FR
,Uni’Vers Bio,Entreprise,1 rue des Tisserands,88190,Golbey,univers.bio@wanadoo.fr,0329310385,,http://www.universbio.fr/,SARL coopérative,,,Supérette / épicerie / supermarché,,48.1949522,6.4471326,FR
,Bio Monde,Entreprise,10 rue de la Bazaine,88000,Epinal,biomonde.epinal@orange.fr,0961639693,,http://www.biomonde.fr,"Magasins bio Produits diététiques, naturels",,,Supérette / épicerie / supermarché,bio,48.1971812,6.4669247,FR
,Grand Bio,Entreprise,Zac des terres st jean - 31 avenue des terres st jean,88000,Epinal,contact@grandbio.fr,0329296040,,,,"Produits bio, vrac, local pour certains produits",,Supérette / épicerie / supermarché,,48.190768,6.473811,FR
,La Vie Claire,Entreprise,13 rue François Blaudez,88000,Epinal,emilie.gancarz@dbmail.com,0329354545,,,"Produits bio, vrac",Fruits et légumes bio,,Supérette / épicerie / supermarché,,48.1734,6.449798,FR
,In Bô,Entreprise,ZA Les Bouleaux,88240,Les Voivres,contact@inbo.fr,0329350657,,,,,,Transport / Vélo,,48.0249251,6.3108863,FR
,Roue libre,Entreprise,150 rue de la Dame Biétrie,88220,Hadol,pascaltheo@hotmail.fr,,,,,,,Transport / Vélo,,48.0959779,6.4938173,FR
,Mob Trotteurs,Association ,,88220,Xertigny,associationmobtrotteurs@gmail.com,,,,,Réparent des mobylettes + dons pour demandeurs d'emploi,,Transport / Vélo,,48.045034,6.405684,FR
,Cévofil,Entreprise,28 rue de la Mairie,88600,Les Poulières,nicolas.boileau@cevofil.com,,0630022650,,Marquage textiles,,,Textiles,,,,FR
,Entre bulles et Vôge,Entreprise,457 rue de la Houée,88000,Dinozé,entrebullesetvoge@gmail.com,0329641481,,,Savonnerie,,,Entretien du corps,,,,FR
,GAEC des Co'pains,Entreprise,361 rue d'Haréville,88800,Valleroy-le-sec,legaecdescopains@gmail.com,0979536692,,,Paysans-boulangers,"Farines, pains, agneaux, brebis, viennoiseries, pâtes",,Boulanger,,,,
